Windspeed,Lux,Humidity,Ext. Temperature,Station Temperature,Sea Level Pressure,Station Altitude,Absolute Pressure,Solar Irradiance
12.203,2615.066,45,27.22,30.96,1024.042,39.4,1008.562,1519.8815
13.06,2608.649,48.8,32.48,38.1,1018.972,80.4,1003.564,1504.7015
13.7785,2522.8835,47.6,31.48,37.94,1018.952,80,1003.548,1493.7105
17.3105,2520.1205,48.4,32.04,37.84,1018.972,81,1003.566,1493.219333
15.2605,2480.3455,46.4,30.96,37.68,1018.916,81.4,1003.514,1486.565667
14.483,2472.592,48,31.16,37.54,1018.892,81.4,1003.492,1482.193
12.9725,2468.7355,49.6,31.56,37.82,1018.92,81.8,1003.52,1477.653167
10.6215,2458.6555,49.2,30.98,37.8,1018.82,82,1003.42,1466.314667
13.5085,2452.419,47.8,31.1,37.84,1018.778,82.8,1003.378,1464.7215
12.7975,2417.593,48.2,31.9,37.88,1018.826,82,1003.426,1464.452333
8.3285,2346.4785,49.4,32.5,38.06,1018.774,82,1003.374,1461.187167
11.8225,2324.715,47.4,32.1,38.1,1018.79,82,1003.39,1458.100167
11.449,2315.5195,45.2,31.52,37.98,1018.74,83,1003.34,1455.7955
12.6115,2315.515,45.2,30.72,37.74,1018.768,82.2,1003.368,1455.313
10.4845,2312.174,45.4,30.32,37.6,1018.738,83,1003.338,1451.770667
12.725,2264.2905,46.6,30.2,37.48,1018.746,83.4,1003.346,1451.222
13.7975,2253.209,46.4,29.8,37.1,1018.748,83.4,1003.348,1447.365167
13.776,2246.2255,46.8,29.4,36.7,1018.756,83,1003.356,1446.067833
19.812,2245.397,47,29.34,36.42,1018.76,82.4,1003.36,1446.005
10.0885,2231.13,47,28.94,36.18,1018.772,82.8,1003.372,1444.948167
12.9805,2229.9325,47.8,29.06,35.78,1018.82,81.6,1003.42,1444.7065
9.244,2219.4975,49,29.22,35.58,1018.904,81.6,1003.504,1442.225333
11.794,2218.4555,49.4,29.12,35.5,1018.838,81.8,1003.438,1442.208167
10.8355,2215.599,49.4,29.88,35.64,1018.916,81,1003.516,1442.049833
12.447,2207.6955,49.8,30.1,35.66,1018.928,81.4,1003.528,1440.952167
12.714,2205.559,49.8,29.54,35.66,1018.976,81.4,1003.572,1438.932333
15.443,2197.9995,50,34.64,41.96,1020.836,65,1005.406,1438.486667
7.78,2189.361,48.4,34.04,41.8,1020.724,66,1005.294,1433.500167
13.9065,2185.1885,49.2,34.34,41.84,1020.64,67.4,1005.21,1432.6995
14.231,2176.4455,49.6,34.22,41.88,1020.548,67.8,1005.118,1429.736
11.701,2175.7115,48.2,34.02,41.92,1020.438,68.6,1005.01,1429.014833
14.9775,2169.06,49.8,33.82,42.04,1020.37,69.4,1004.942,1426.934667
14.3475,2168.2895,49.4,33.04,42.08,1020.484,68.6,1005.054,1425.8915
14.485,2142.973,48.2,32.48,41.96,1020.32,69.4,1004.894,1425.292167
10.493,2135.3745,49.8,32.52,41.74,1020.354,70,1004.928,1423.390333
10.9415,2122.1525,48.6,32.28,41.58,1020.362,70,1004.936,1422.099333
12.3095,2110.9345,50,31.9,41.16,1020.422,69,1004.992,1421.315833
13.0755,2102.854,49.6,30.96,40.8,1020.382,69,1004.952,1419.687167
16.1685,2065.6245,49.6,30.52,40.4,1020.414,69,1004.984,1419.4475
11.077,2050.9325,48.8,33.58,40.26,1019.956,72.6,1004.536,1418.357333
12.0505,2050.0795,49.4,35.06,40.56,1019.76,74.8,1004.34,1417.437667
15.5045,2045.4325,48.2,34.22,40.6,1019.644,75.6,1004.228,1416.854167
13.4385,2033.6925,47.2,34.48,40.76,1019.61,75.4,1004.2,1416.502333
14.471,2013.434,46.8,33.4,40.8,1019.594,75.8,1004.184,1415.258333
9.226,1999.359,46.4,32.84,40.8,1019.47,76,1004.06,1414.637833
13.955,1994.982,44.4,33.12,40.8,1019.466,76.4,1004.056,1412.344167
14.634,1989.129,47.4,34.14,40.78,1019.466,76.2,1004.056,1410.2395
10.8905,1988.0145,47.8,33.66,40.9,1019.41,77.4,1004,1409.812167
8.494,1980.792,46.6,32.54,40.92,1019.416,78,1004.006,1409.500833
13.8185,1974.3625,45.4,32.1,40.76,1019.32,78,1003.91,1408.761667
12.9805,1972.3035,46.2,31.9,40.56,1019.296,78,1003.886,1407.056167
11.7935,1961.8105,45,31.82,40.32,1019.232,78.8,1003.822,1405.963833
10.7915,1958.863,45.4,31.6,40.12,1019.232,79,1003.822,1405.602833
16.4945,1957.574,46.6,31.28,39.88,1019.192,79.4,1003.782,1405.429
16.904,1946.454,48.2,31.12,39.7,1019.164,79.6,1003.754,1404.890167
12.85,1941.693,50,31.52,39.48,1019.204,79,1003.794,1403.689
13.519,1940.9045,48.4,31.52,39.28,1019.188,79.4,1003.778,1399.6565
10.3095,1939.622,48.2,31.5,39.02,1019.192,79,1003.782,1399.181833
13.4625,1938.6315,49,31.14,38.9,1019.124,79.8,1003.714,1398.819167
11.9475,1921.0675,49.4,30.72,38.62,1019.204,79.6,1003.794,1398.2125
17.4495,1919.9875,50,30.88,38.54,1019.192,79,1003.782,1398.0985
13.1355,1917.552,48.8,30.98,38.32,1019.262,78,1003.852,1395.293167
15.6175,1917.4625,50,31.18,38.2,1019.298,78.4,1003.888,1394.334833
16.0335,1903.2485,50,39.46,41.44,1019.146,79.6,1003.736,1394.1415
14.461,1899.0805,49.4,39.1,41.44,1018.98,80.8,1003.574,1390.437
16.4055,1896.2315,49.4,38.9,41.26,1018.854,81.8,1003.454,1388.984833
15.2785,1887.142,49.6,37.7,41.32,1018.694,82.8,1003.294,1388.852833
13.889,1863.8155,48.4,37.42,41.3,1018.55,83.8,1003.15,1388.1605
12.095,1859.5765,48.8,37.3,41.46,1018.55,84.2,1003.15,1387.056667
15.674,1855.132,49.6,35.44,41.5,1018.466,85,1003.066,1386.584333
15.525,1852.994,50,33,41.26,1018.486,85.4,1003.086,1384.335833
15.12,1848.7515,50,34.5,40.4,1018.35,85.6,1002.952,1383.644
16.2015,1837.6945,48.8,31.9,40.54,1017.96,88.4,1002.57,1383.633333
11.849,1830.2475,48.8,33.88,39.4,1018.22,87.2,1002.83,1382.727
14.058,1810.972,50,33.68,39.28,1018.14,87.8,1002.75,1382.585167
14.249,1809.0275,49.6,47.44,41.14,1021.124,63.4,1005.684,1382.416
13.7915,1808.2235,49.4,45.96,41.32,1021.182,63,1005.742,1379.5055
17.049,1808.018,49.4,48.96,41.48,1021.166,63,1005.726,1379.059667
15.078,1804.4935,46.2,42.7,41.42,1021.108,63.2,1005.668,1378.035333
14.959,1802.8575,45.8,44.22,41.18,1021.02,64,1005.58,1375.828833
13.8405,1787.3375,46.4,45,41.1,1021.014,64.2,1005.574,1375.310333
18.9885,1787.289,48.4,47.84,41.18,1020.942,64.2,1005.51,1373.896
15.1565,1786.376,47.8,40.1,41.38,1020.898,65.2,1005.468,1373.598333
14.4915,1783.114,47.4,36.5,41.14,1020.806,66,1005.376,1372.603
15.935,1774.3855,49,43.94,40.96,1020.644,66.8,1005.214,1371.948333
16.491,1762.853,45.8,46.5,41.14,1020.554,68.4,1005.124,1370.519667
16.205,1761.82,48.6,39.82,41.18,1020.506,68,1005.076,1369.688667
16.071,1751.439,48.6,33.68,41.28,1020.506,68.2,1005.076,1369.216167
11.6245,1748.3475,49.8,34.84,41.12,1020.53,68.2,1005.1,1368.358833
18.062,1748.3045,49.6,41.98,40.98,1020.426,68.8,1004.998,1368.31
14.399,1736.039,47.2,42.3,40.82,1020.222,70.8,1004.802,1367.829167
16.8455,1734.8055,46.8,42.36,40.7,1020.1,71.6,1004.68,1366.174
14.549,1734.124,49.6,44.72,40.9,1020.06,72,1004.64,1363.990167
15.378,1729.006,48,44.08,41.14,1020.016,72.2,1004.596,1360.804333
14.762,1728.788,45.2,42.88,40.98,1019.98,72.6,1004.56,1360.633
11.264,1717.4995,50,44.24,41.14,1019.93,73.4,1004.51,1358.662667
19.198,1713.583,47.2,44.52,41.42,1019.842,73.4,1004.422,1358.560667
18.312,1712.5975,44.4,41.48,41.36,1019.72,74.4,1004.3,1357.315833
18.248,1707.251,48.4,41.48,41.36,1019.764,74,1004.344,1356.903667
12.044,1706.5565,45.4,41.1,41.56,1019.772,74,1004.352,1356.1365
20.1575,1704.093,49.8,38.9,41.76,1019.76,74.8,1004.34,1355.800333
17.995,1703.268,43.6,33.54,41.62,1019.69,75.4,1004.27,1355.420167
14.803,1700.7325,44.8,31.14,41.14,1019.666,75,1004.25,1354.5395
13.5395,1700.5675,45,31.34,40.68,1019.734,74.4,1004.314,1352.960167
12.427,1700.2055,47.4,30.42,40.2,1019.698,74.8,1004.278,1351.697
20.223,1696.9355,48,29.84,39.84,1019.74,74,1004.32,1349.451667
14.6175,1696.0175,48.8,30,39.32,1019.796,73.6,1004.376,1348.627
14.3895,1691.811,49.4,55.78,40.76,1021.44,60,1006,1346.978167
14.256,1687.9075,49.4,52.4,41.04,1021.188,62.2,1005.748,1346.209333
14.453,1687.491,49.6,54.7,41.08,1021.072,63.6,1005.632,1346.031667
13.755,1684.7895,48.8,56.22,40.92,1021.028,64,1005.588,1344.962833
15.359,1683.7625,47.2,55.44,40.64,1020.932,64.4,1005.5,1344.770667
14.4385,1681.1405,49.2,50.24,40.64,1020.844,65.2,1005.412,1344.373667
15.188,1671.4205,49.2,44.84,40.52,1020.792,65.6,1005.362,1344.270333
10.138,1669.0825,47.6,44.2,39.92,1020.644,66.4,1005.214,1343.063667
10.44103,1668.3125,48,55.66,39.34,1020.46,68,1005.03,1342.640833
11.709885,1664.26,49.8,57.44,39.46,1020.398,68.6,1004.968,1338.989667
12.058805,1663.0295,49,58.24,39.36,1020.384,68.8,1004.956,1338.199833
12.702,1658.0085,47.4,52.56,39.04,1020.336,69.2,1004.908,1337.663333
13.236,1656.8125,49.2,58.32,39.94,1022.606,51.4,1007.146,1332.8375
15.2405,1652.001,47.2,59.44,40.12,1022.542,51.2,1007.082,1331.960167
22.99,1650.44,47.2,59.96,40.28,1022.422,52,1006.962,1331.8115
17.4065,1643.806,48.2,61.5,40.52,1022.256,53.6,1006.802,1331.480167
10.4235,1640.958,43.4,60.7,40.44,1022.172,54.4,1006.722,1331.223167
15.087,1640.608,44,55.02,40.22,1022.204,53.8,1006.754,1331.008167
14.1045,1635.4065,44.8,56.62,40.26,1022.112,55,1006.662,1330.8435
15.772,1634.8945,48,54.52,40.42,1022.024,56.2,1006.574,1329.845167
13.1275,1625.2685,44,52.28,40.58,1021.92,56.6,1006.47,1329.5745
13.8165,1623.076,45.6,56.44,40.52,1021.746,58,1006.296,1329.523167
14.04,1621.589,45.2,59.96,40.48,1021.722,58.4,1006.272,1329.481333
13.6345,1615.305,45.8,59.24,40.7,1021.602,59,1006.162,1329.195667
12.0325,1612.0075,45.4,60.96,40.9,1021.514,59.8,1006.074,1329.061667
18.5925,1608.354,42,61.72,40.66,1021.35,61,1005.91,1328.579167
14.354,1607.816,42.4,60.32,40.42,1021.262,62.2,1005.822,1327.100167
12.282,1601.246,44.2,63.72,40.44,1021.088,63,1005.648,1322.732
12.5275,1596.242,48.2,60,40.72,1021.108,63,1005.668,1322.644333
15.448,1582.917,44.2,57.3,40.76,1021.012,64.6,1005.574,1320.958167
16.1775,1578.8265,44.6,57.94,40.52,1020.952,64.6,1005.518,1318.5715
9.9235,1578.6285,44.6,56.44,40.36,1020.816,65.2,1005.386,1317.442667
15.5545,1578.16,45.4,56.88,40.44,1020.796,65.6,1005.366,1317.436
12.884,1568.564,44.2,59.34,40.32,1020.804,66.2,1005.374,1314.403833
13.9165,1562.762,44.6,61.38,40.28,1020.776,66.6,1005.346,1312.2945
13.049,1561.9735,45.6,62.22,40.2,1020.522,68.2,1005.092,1312.0855
12.4485,1560.743,46,58.66,40.24,1020.41,68.6,1004.98,1305.799833
17.0595,1552.6875,45.6,60.88,40.38,1020.432,68.2,1005.002,1305.522833
14.446,1552.2335,46.4,57.88,40.62,1020.396,69,1004.966,1302.089167
15.0515,1548.4195,44.6,53.92,40.34,1020.446,69,1005.016,1297.015
15.564,1545.9225,43.8,49.48,40.14,1020.326,69.8,1004.9,1295.237333
10.8595,1544.1765,44.6,47.86,39.46,1020.364,69.2,1004.936,1292.347167
16.309,1543.911,45,51.38,38.9,1020.296,70,1004.872,1290.938
17.894,1542.2985,45.6,54.16,38.78,1020.224,71.2,1004.804,1287.762167
16.006,1532.411,46,53.72,38.38,1020.108,71.6,1004.688,1282.525833
14.1835,1526.89,48,46.24,38.2,1020.152,71,1004.732,1281.187333
13.762,1526.7585,46.8,41.16,37.88,1020.136,71.8,1004.716,1279.735667
18.451,1525.2675,47.6,38.36,37.66,1020.038,72.2,1004.618,1278.5695
15.4065,1524.047,48,35.96,37.62,1020.026,72.2,1004.606,1276.087833
12.29,1523.035,48.8,35.26,37.54,1020.024,72.2,1004.604,1262.572667
12.9805,1518.419,46.8,34.7,37.26,1019.84,73.4,1004.42,1257.132833
14.164,1518.0885,48.2,33.76,36.94,1019.94,73.4,1004.52,1253.1195
13.239,1516.0465,48.8,36.66,36.84,1019.926,73.6,1004.506,1249.648167
14.841,1512.751,48,36.74,36.36,1019.894,74,1004.474,1249.0465
16.3205,1512.601,49,55.4,41.14,1021.178,63.4,1005.738,1246.873167
11.9885,1503.595,48,54.68,41.34,1021.16,62.8,1005.72,1241.4905
12.898,1502.4065,48.4,55.28,41.34,1021.036,64,1005.596,1241.101667
10.4935,1500.6955,46.4,54.24,41.52,1020.896,64.4,1005.466,1240.507333
10.507,1495.2715,46.4,55.24,41.6,1020.88,65.2,1005.45,1240.500667
11.6275,1495.055,48,55.76,41.56,1020.744,65.6,1005.314,1237.844667
14.712,1494.6205,48,53.84,41.68,1020.744,66.8,1005.314,1236.571667
12.671,1492.624,46.8,50.2,41.66,1020.714,67,1005.284,1235.500667
14.313,1489.6965,48.4,53.4,41.82,1020.722,66.6,1005.292,1235.055667
15.8435,1479.9575,47.4,53.84,41.76,1020.61,67,1005.18,1233.704333
12.77,1472.713,47.8,53.24,41.84,1020.654,67,1005.224,1232.3985
13.139,1472.439,47.4,54.54,41.9,1020.654,67.2,1005.224,1231.104
12.9685,1472.224,46.2,56.14,41.82,1020.714,66.4,1005.284,1230.0355
12.438,1468.534,45.8,57.72,41.96,1020.592,67.2,1005.162,1228.293
15.3885,1465.168,47,57.2,41.92,1020.516,68.4,1005.086,1226.9865
9.4175,1459.791,45.4,57.82,42,1020.338,68.8,1004.912,1226.226833
14.6715,1459.3375,45.8,57.3,42.04,1020.298,69.6,1004.876,1225.005833
14.397,1458.5435,45,58.04,42.02,1020.248,70.2,1004.828,1223.753667
14.128,1457.5665,45.4,56.92,41.98,1020.176,70.6,1004.756,1217.057667
13.167,1447.4535,45.4,56.9,41.78,1020.164,71,1004.744,1210.635833
11.9865,1447.071,45.4,52.7,41.74,1020.156,71.4,1004.736,1207.930833
8.8265,1443.9645,46,58.32,41.74,1020.038,72.2,1004.618,1206.808167
16.089,1443.245,48.4,59.96,41.66,1020.026,72.2,1004.606,1204.938167
11.418,1441.1865,49.6,61.92,41.96,1019.974,72.2,1004.554,1203.603667
15.397,1441.1705,46,62.16,41.84,1020.002,72.6,1004.582,1201.412333
10.0815,1434.463,42.6,54.34,41.04,1019.976,73,1004.556,1197.214167
10.461,1433.061,44.6,51.26,40.36,1019.948,73,1004.528,1196.713167
15.376,1433.028,48,43.54,40,1020.012,72.8,1004.592,1190.014167
15.2215,1432.284,49.6,39.54,39.92,1020.092,72,1004.672,1188.653667
11.1565,1431.5715,50,44.24,39.32,1020.02,72.4,1004.6,1183.521333
9.9265,1419.8555,50,52.02,40.06,1021.71,59,1006.26,1181.229
8.946,1415.732,49.8,46.18,39.8,1021.62,59,1006.176,1178.465
12.159,1415.6675,49,44.74,39.72,1021.572,59.8,1006.132,1178.222667
13.9155,1412.3995,49.4,53.98,41.28,1020.062,71.6,1004.642,1174.3555
9.4945,1409.5175,50,52.66,41.58,1019.996,72.6,1004.576,1173.382667
14.1695,1409.251,50,55.86,41.74,1019.868,73.4,1004.448,1168.258667
15.3585,1399.733,48.4,55.28,41.74,1019.808,73.6,1004.388,1167.343667
13.8935,1394.3035,48,57.72,41.58,1019.816,74,1004.396,1166.863167
12.6425,1389.1755,50,54.86,41.78,1019.762,74,1004.342,1162.873333
15.045,1386.129,48.8,54.54,41.98,1019.754,74.8,1004.334,1162.785167
14.6,1385.603,46.4,54.16,42,1019.632,76,1004.218,1162.603667
14.7595,1384.971,46.4,55.4,41.88,1019.592,76,1004.182,1162.2485
15.5885,1383.393,46.4,51.38,41.56,1019.564,76,1004.154,1157.899167
13.304,1374.617,47.6,49.9,41.32,1019.508,76.4,1004.098,1156.269833
14.553,1372.2945,49.4,56.64,41.5,1019.428,77.6,1004.018,1154.797167
10.9475,1367.3235,48.2,58.76,41.5,1019.248,78.8,1003.838,1149.989833
18.6385,1362.6945,47.2,52.04,41.66,1019.202,79,1003.792,1149.967
13.002,1362.363,48.8,52.64,41.62,1019.19,78.6,1003.78,1147.5335
12.0325,1360.5915,46.8,55.12,41.2,1019.206,78.6,1003.796,1142.7245
13.663,1356.412,46,48.2,40.64,1019.134,79.8,1003.724,1140.415333
13.3575,1352.667,48.4,39.62,40.28,1019.082,80,1003.672,1139.371167
10.701,1348.895,49.6,36.98,40.24,1019.014,80.8,1003.604,1128.976667
14.594,1347.8745,49,35.82,40.02,1018.98,81.2,1003.576,1127.858667
13.8725,1346.8645,48.6,34.78,39.42,1018.9,81.6,1003.5,1126.902667
12.761,1345.708,46.2,49.32,42.06,1020.106,71.6,1004.686,1120.447667
12.0885,1342.172,48.6,52.62,41,1019.998,72.2,1004.578,1119.638
15.187,1339.11,48.2,55.82,40.92,1019.842,73.8,1004.422,1118.729167
9.6065,1337.5425,48.6,53.44,40.84,1019.7,74.8,1004.284,1115.115667
11.405,1336.4275,48.8,50.74,40.62,1019.556,76,1004.146,1113.656833
17.3845,1331.154,49.4,46.06,40.1,1018.81,82,1003.41,1113.394
12.456,1330.924,46.4,61.36,40.24,1018.58,84,1003.18,1108.221167
10.497,1323.616,49.8,62.56,40.42,1018.616,83.8,1003.216,1102.535333
11.8575,1320.913,49.8,61.72,40.9,1018.592,84.2,1003.192,1099.226
12.54,1316.8435,48.4,59.14,41.12,1018.552,84.8,1003.152,1097.457167
